    ADMIT      GRE TOPNOTCH      GPA
     1.00   660.00     1.00     3.95
     1.00   740.00      .00     2.97
     1.00   700.00     1.00     3.56
      .00   480.00     1.00     3.13
      .00   400.00      .00     2.93
      .00   480.00      .00     3.45
      .00   680.00      .00     3.08
      .00   420.00      .00     3.41
      .00   360.00      .00     3.00
      .00   600.00      .00     3.22
      .00   720.00      .00     3.84
      .00   620.00      .00     3.99
     1.00   440.00      .00     3.45
      .00   700.00     1.00     3.72
     1.00   800.00      .00     3.70
      .00   340.00      .00     2.92
     1.00   520.00      .00     3.74
     1.00   480.00      .00     2.67
      .00   520.00      .00     2.85
      .00   500.00      .00     2.98
      .00   720.00     1.00     3.88
      .00   540.00      .00     3.38
     1.00   600.00     1.00     3.54
      .00   740.00      .00     3.74
      .00   540.00      .00     3.19
      .00   460.00      .00     3.15
     1.00   620.00      .00     3.17
      .00   640.00      .00     2.79
      .00   580.00      .00     3.40
      .00   500.00      .00     3.08
      .00   560.00      .00     2.95
      .00   500.00     1.00     3.57
      .00   560.00      .00     3.33
      .00   700.00     1.00     4.00
      .00   620.00      .00     3.40
     1.00   600.00      .00     3.58
      .00   640.00      .00     3.93
     1.00   700.00      .00     3.52
      .00   620.00      .00     3.94
      .00   580.00      .00     3.40
      .00   580.00      .00     3.40
      .00   380.00      .00     3.43
      .00   480.00      .00     3.40
      .00   560.00      .00     2.71
     1.00   480.00      .00     2.91
      .00   740.00      .00     3.31
     1.00   800.00     1.00     3.74
      .00   400.00      .00     3.38
     1.00   640.00      .00     3.94
      .00   580.00      .00     3.46
      .00   620.00     1.00     3.69
     1.00   580.00      .00     2.86
      .00   560.00      .00     2.52
     1.00   480.00      .00     3.58
      .00   660.00      .00     3.49
      .00   700.00     1.00     3.82
      .00   600.00      .00     3.13
      .00   640.00      .00     3.50
     1.00   700.00      .00     3.56
      .00   520.00      .00     2.73
      .00   580.00      .00     3.30
      .00   700.00      .00     4.00
      .00   440.00      .00     3.24
      .00   720.00      .00     3.77
      .00   500.00      .00     4.00
      .00   600.00      .00     3.62
      .00   400.00      .00     3.51
      .00   540.00      .00     2.81
      .00   680.00      .00     3.48
     1.00   800.00      .00     3.43
      .00   500.00      .00     3.53
     1.00   620.00      .00     3.37
      .00   520.00      .00     2.62
     1.00   620.00      .00     3.23
      .00   620.00     1.00     3.33
      .00   300.00      .00     3.01
      .00   620.00      .00     3.78
      .00   500.00      .00     3.88
      .00   700.00      .00     4.00
     1.00   540.00      .00     3.84
      .00   500.00      .00     2.79
      .00   800.00      .00     3.60
      .00   560.00      .00     3.61
      .00   580.00      .00     2.88
      .00   560.00      .00     3.07
      .00   500.00      .00     3.35
     1.00   640.00      .00     2.94
      .00   800.00      .00     3.54
      .00   640.00      .00     3.76
      .00   380.00      .00     3.59
     1.00   600.00      .00     3.47
      .00   560.00      .00     3.59
      .00   660.00      .00     3.07
     1.00   400.00      .00     3.23
      .00   600.00      .00     3.63
      .00   580.00      .00     3.77
      .00   800.00     1.00     3.31
     1.00   580.00      .00     3.20
     1.00   700.00      .00     4.00
      .00   420.00      .00     3.92
     1.00   600.00      .00     3.89
     1.00   780.00     1.00     3.80
      .00   740.00      .00     3.54
     1.00   640.00     1.00     3.63
      .00   540.00      .00     3.16
      .00   580.00      .00     3.50
      .00   740.00      .00     3.34
      .00   580.00      .00     3.02
      .00   460.00      .00     2.87
      .00   640.00      .00     3.38
     1.00   600.00      .00     3.56
     1.00   660.00      .00     2.91
      .00   340.00      .00     2.90
     1.00   460.00      .00     3.64
      .00   460.00      .00     2.98
     1.00   560.00      .00     3.59
      .00   540.00     1.00     3.28
      .00   680.00      .00     3.99
     1.00   480.00      .00     3.02
      .00   800.00     1.00     3.47
      .00   800.00      .00     2.90
     1.00   720.00      .00     3.50
      .00   620.00     1.00     3.58
      .00   540.00      .00     3.02
      .00   480.00      .00     3.43
     1.00   720.00      .00     3.42
      .00   580.00      .00     3.29
      .00   600.00      .00     3.28
      .00   380.00      .00     3.38
      .00   420.00      .00     2.67
     1.00   800.00      .00     3.53
      .00   620.00      .00     3.05
     1.00   660.00      .00     3.49
      .00   480.00      .00     4.00
      .00   500.00      .00     2.86
      .00   700.00      .00     3.45
      .00   440.00      .00     2.76
     1.00   520.00      .00     3.81
     1.00   680.00      .00     2.96
      .00   620.00      .00     3.22
      .00   540.00      .00     3.04
      .00   800.00     1.00     3.91
      .00   680.00     1.00     3.34
      .00   440.00      .00     3.17
      .00   680.00      .00     3.64
      .00   640.00     1.00     3.73
      .00   660.00     1.00     3.31
      .00   620.00      .00     3.21
     1.00   520.00      .00     4.00
     1.00   540.00      .00     3.55
     1.00   740.00     1.00     3.52
      .00   640.00      .00     3.35
     1.00   520.00      .00     3.30
     1.00   620.00     1.00     3.95
      .00   520.00      .00     3.51
      .00   640.00     1.00     3.81
      .00   680.00      .00     3.11
      .00   440.00      .00     3.15
     1.00   520.00     1.00     3.19
     1.00   620.00      .00     3.95
     1.00   520.00     1.00     3.90
      .00   380.00      .00     3.34
      .00   560.00      .00     3.24
     1.00   600.00     1.00     3.64
     1.00   680.00      .00     3.46
      .00   500.00      .00     2.81
     1.00   640.00      .00     3.95
      .00   540.00     1.00     3.33
     1.00   680.00      .00     3.67
      .00   660.00      .00     3.32
      .00   520.00      .00     3.12
     1.00   600.00     1.00     2.98
      .00   460.00      .00     3.77
     1.00   580.00      .00     3.58
     1.00   680.00      .00     3.00
     1.00   660.00      .00     3.14
      .00   660.00      .00     3.94
      .00   360.00      .00     3.27
      .00   660.00     1.00     3.45
      .00   520.00      .00     3.10
     1.00   440.00      .00     3.39
      .00   600.00      .00     3.31
     1.00   800.00     1.00     3.22
     1.00   660.00      .00     3.70
      .00   800.00      .00     3.15
      .00   420.00      .00     2.26
     1.00   620.00      .00     3.45
      .00   800.00      .00     2.78
      .00   680.00      .00     3.70
      .00   800.00      .00     3.97
      .00   480.00      .00     2.55
      .00   520.00      .00     3.25
      .00   560.00      .00     3.16
      .00   460.00      .00     3.07
      .00   540.00     1.00     3.50
      .00   720.00      .00     3.40
      .00   640.00      .00     3.30
     1.00   660.00      .00     3.60
     1.00   400.00      .00     3.15
     1.00   680.00      .00     3.98
      .00   220.00      .00     2.83
      .00   580.00      .00     3.46
     1.00   540.00      .00     3.17
      .00   580.00      .00     3.51
      .00   540.00      .00     3.13
      .00   440.00      .00     2.98
      .00   560.00      .00     4.00
      .00   660.00      .00     3.67
      .00   660.00      .00     3.77
     1.00   520.00      .00     3.65
      .00   540.00      .00     3.46
     1.00   300.00     1.00     2.84
     1.00   340.00      .00     3.00
     1.00   780.00     1.00     3.63
     1.00   480.00      .00     3.71
      .00   540.00      .00     3.28
      .00   460.00      .00     3.14
      .00   460.00      .00     3.58
      .00   500.00      .00     3.01
      .00   420.00      .00     2.69
      .00   520.00      .00     2.70
      .00   680.00      .00     3.90
      .00   680.00     1.00     3.31
     1.00   560.00      .00     3.48
      .00   580.00     1.00     3.34
      .00   500.00     1.00     2.93
      .00   740.00      .00     4.00
      .00   660.00      .00     3.59
      .00   420.00      .00     2.96
      .00   560.00      .00     3.43
     1.00   460.00      .00     3.64
     1.00   620.00      .00     3.71
      .00   520.00      .00     3.15
      .00   620.00     1.00     3.09
      .00   540.00      .00     3.20
     1.00   660.00      .00     3.47
      .00   500.00      .00     3.23
     1.00   560.00      .00     2.65
      .00   500.00      .00     3.95
      .00   580.00      .00     3.06
      .00   520.00      .00     3.35
      .00   500.00     1.00     3.03
      .00   600.00      .00     3.35
      .00   580.00      .00     3.80
      .00   400.00      .00     3.36
      .00   620.00      .00     2.85
     1.00   780.00      .00     4.00
      .00   620.00      .00     3.43
     1.00   580.00      .00     3.12
      .00   700.00      .00     3.52
     1.00   540.00      .00     3.78
     1.00   760.00      .00     2.81
      .00   700.00      .00     3.27
      .00   720.00      .00     3.31
     1.00   560.00     1.00     3.69
      .00   720.00     1.00     3.94
     1.00   520.00     1.00     4.00
     1.00   540.00      .00     3.49
      .00   680.00      .00     3.14
      .00   460.00      .00     3.44
     1.00   560.00      .00     3.36
      .00   480.00      .00     2.78
      .00   460.00      .00     2.93
      .00   620.00      .00     3.63
      .00   580.00      .00     4.00
      .00   800.00      .00     3.89
     1.00   540.00      .00     3.77
     1.00   680.00      .00     3.76
     1.00   680.00      .00     2.42
     1.00   620.00     1.00     3.37
      .00   560.00      .00     3.78
      .00   560.00      .00     3.49
      .00   620.00      .00     3.63
     1.00   800.00     1.00     4.00
      .00   640.00      .00     3.12
      .00   540.00      .00     2.70
      .00   700.00      .00     3.65
     1.00   540.00      .00     3.49
      .00   540.00      .00     3.51
      .00   660.00     1.00     4.00
     1.00   480.00      .00     2.62
      .00   420.00      .00     3.02
     1.00   740.00      .00     3.86
      .00   580.00      .00     3.36
      .00   640.00      .00     3.17
      .00   640.00      .00     3.51
     1.00   800.00      .00     3.05
     1.00   660.00      .00     3.88
     1.00   600.00      .00     3.38
     1.00   620.00     1.00     3.75
     1.00   460.00     1.00     3.99
      .00   620.00      .00     4.00
      .00   560.00      .00     3.04
      .00   460.00      .00     2.63
      .00   700.00      .00     3.65
      .00   600.00      .00     3.89
